Area Name,Age Group,Total,Male,Female,,,,,,,,,,,,,,,,,,
Ferry,40-44,401,180,221,,,,,,,,,,,,,,,,,,
Ferry,45-49,538,262,276,,,,,,,,,,,,,,,,,,
Ferry,50-54,614,295,319,,,,,,,,,,,,,,,,,,
Ferry,55-59,759,388,371,,,,,,,,,,,,,,,,,,
Ferry,60-64,680,376,304,,,,,,,,,,,,,,,,,,
Ferry,65-69,523,258,265,,,,,,,,,,,,,,,,,,
Ferry,70-74,377,210,167,,,,,,,,,,,,,,,,,,
Ferry,75-79,240,136,104,,,,,,,,,,,,,,,,,,
Ferry,80-84,135,65,70,,,,,,,,,,,,,,,,,,
Ferry,85+,153,49,104,,,,,,,,,,,,,,,,,,
Ferry,Total,"7,551","3,905","3,646",,,,,,,,,,,,,,,,,,
Franklin,0-4,"8,297","4,251","4,046",,,,,,,,,,,,,,,,,,
Franklin,5-9,"7,699","3,935","3,764",,,,,,,,,,,,,,,,,,
Franklin,10-14,"6,912","3,572","3,340",,,,,,,,,,,,,,,,,,
Franklin,15-19,"6,214","3,218","2,996",,,,,,,,,,,,,,,,,,
Franklin,20-24,"5,645","2,986","2,659",,,,,,,,,,,,,,,,,,
Franklin,25-29,"6,482","3,416","3,066",,,,,,,,,,,,,,,,,,
Franklin,30-34,"6,187","3,264","2,923",,,,,,,,,,,,,,,,,,
Franklin,35-39,"5,464","2,824","2,640",,,,,,,,,,,,,,,,,,
Franklin,40-44,"4,683","2,542","2,141",,,,,,,,,,,,,,,,,,
Franklin,45-49,"4,278","2,206","2,072",,,,,,,,,,,,,,,,,,
Franklin,50-54,"4,078","2,111","1,967",,,,,,,,,,,,,,,,,,
Franklin,55-59,"3,734","1,980","1,754",,,,,,,,,,,,,,,,,,
Franklin,60-64,"2,794","1,435","1,359",,,,,,,,,,,,,,,,,,
Franklin,65-69,"1,948",974,974,,,,,,,,,,,,,,,,,,
Franklin,70-74,"1,342",675,667,,,,,,,,,,,,,,,,,,
Franklin,75-79,993,463,530,,,,,,,,,,,,,,,,,,
Franklin,80-84,780,330,450,,,,,,,,,,,,,,,,,,
Franklin,85+,633,265,368,,,,,,,,,,,,,,,,,,
Franklin,Total,"78,163","40,447","37,716",,,,,,,,,,,,,,,,,,
Garfield,0-4,96,49,47,,,,,,,,,,,,,,,,,,
Garfield,5-9,107,52,55,,,,,,,,,,,,,,,,,,
Garfield,10-14,159,85,74,,,,,,,,,,,,,,,,,,
Garfield,15-19,148,81,67,,,,,,,,,,,,,,,,,,
Garfield,20-24,75,43,32,,,,,,,,,,,,,,,,,,
Garfield,25-29,89,42,47,,,,,,,,,,,,,,,,,,
Garfield,30-34,105,53,52,,,,,,,,,,,,,,,,,,
Garfield,35-39,116,64,52,,,,,,,,,,,,,,,,,,
Garfield,40-44,107,43,64,,,,,,,,,,,,,,,,,,
Garfield,45-49,165,81,84,,,,,,,,,,,,,,,,,,
Garfield,50-54,183,97,86,,,,,,,,,,,,,,,,,,
Garfield,55-59,221,107,114,,,,,,,,,,,,,,,,,,
Garfield,60-64,189,94,95,,,,,,,,,,,,,,,,,,
Garfield,65-69,127,70,57,,,,,,,,,,,,,,,,,,
Garfield,70-74,94,41,53,,,,,,,,,,,,,,,,,,
Garfield,75-79,101,46,55,,,,,,,,,,,,,,,,,,
Garfield,80-84,88,37,51,,,,,,,,,,,,,,,,,,
Garfield,85+,96,33,63,,,,,,,,,,,,,,,,,,
Garfield,Total,"2,266","1,118","1,148",,,,,,,,,,,,,,,,,,
Grant,0-4,"8,075","4,126","3,949",,,,,,,,,,,,,,,,,,
Grant,5-9,"7,421","3,733","3,688",,,,,,,,,,,,,,,,,,
Grant,10-14,"7,350","3,760","3,590",,,,,,,,,,,,,,,,,,
Grant,15-19,"7,193","3,799","3,394",,,,,,,,,,,,,,,,,,
Grant,20-24,"6,101","3,338","2,763",,,,,,,,,,,,,,,,,,
Grant,25-29,"6,008","3,178","2,830",,,,,,,,,,,,,,,,,,
Grant,30-34,"5,681","2,855","2,826",,,,,,,,,,,,,,,,,,
Grant,35-39,"5,492","2,781","2,711",,,,,,,,,,,,,,,,,,
Grant,40-44,"5,180","2,692","2,488",,,,,,,,,,,,,,,,,,
Grant,45-49,"5,429","2,778","2,651",,,,,,,,,,,,,,,,,,
Grant,50-54,"5,396","2,748","2,648",,,,,,,,,,,,,,,,,,
Grant,55-59,"4,935","2,504","2,431",,,,,,,,,,,,,,,,,,
Grant,60-64,"4,328","2,135","2,193",,,,,,,,,,,,,,,,,,
